#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type
science,TESS,SPOC,Photometer,TESS,TESS,Optical,422407093,,tess2021065132309-s0036-0000000422407093-0207-a_fast,182.829131859095,-21.6374597929682,3,59280.4071070602,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,422382572,,tess2021065132309-s0036-0000000422382572-0207-a_fast,182.798999539319,-19.9605747932837,3,59280.4071803588,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,422271493,,tess2021065132309-s0036-0000000422271493-0207-a_fast,163.085553565667,-16.1344952858796,3,59280.4075037963,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,422250290,,tess2021065132309-s0036-0000000422250290-0207-a_fast,162.909051214289,-13.8459992491402,3,59280.4075823032,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,421189312,,tess2021065132309-s0036-0000000421189312-0207-a_fast,182.103404060803,-24.7288706721923,3,59280.4069795139,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,415715405,,tess2021065132309-s0036-0000000415715405-0207-a_fast,164.244027338978,-21.5706581546993,3,59280.4072874653,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,415714190,,tess2021065132309-s0036-0000000415714190-0207-a_fast,164.160964078331,-22.8822446506165,3,59280.4072260185,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,415696787,,tess2021065132309-s0036-0000000415696787-0207-a_fast,163.847593226055,-23.0395115100441,3,59280.4072166088,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,413441054,,tess2021065132309-s0036-0000000413441054-0207-a_fast,177.334172074667,-22.1003941849662,3,59280.4071964699,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,413401957,,tess2021065132309-s0036-0000000413401957-0207-a_fast,177.278721026808,-19.0928086409427,3,59280.4073283565,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,413376180,,tess2021065132309-s0036-0000000413376180-0207-a_fast,176.739042859126,-22.5630046964693,3,59280.4071840856,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,413373646,,tess2021065132309-s0036-0000000413373646-0207-a_fast,161.121651378087,-18.6353282483796,3,59280.4073885648,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,413325612,,tess2021065132309-s0036-0000000413325612-0207-a_fast,160.367326353421,-22.9097596930131,3,59280.4071918056,20,59327,
