ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
24437956,10.746,3777,0.614,35,1921.067,1921.067,1921.067,1917.194
24440555,8.193,6681,1.871,35,509.007,509.007,509.007,501.190
24441509,15.062,0,0.000,35,35068.326,35068.326,35068.326,34608.528
24450633,13.717,0,0.000,32,127042.234,127042.234,127042.234,128386.751
24450633,13.717,0,0.000,33,91411.822,91411.822,91411.822,91828.465
24451876,8.035,4206,30.677,33,435.900,435.900,435.900,435.900
24451876,8.035,4206,30.677,32,494.970,494.970,494.970,492.620
24452802,10.912,3164,0.453,33,2376.684,2376.684,2376.684,2348.344
24452802,10.912,3164,0.453,32,3594.684,3594.684,3594.684,3533.164
24518895,11.895,3425,0.560,32,11173.000,11173.000,11173.000,11170.202
24523185,8.059,4205,27.675,33,539.808,539.808,539.808,537.581
24523185,8.059,4205,27.675,32,407.120,407.120,407.120,404.191
24528012,8.142,7950,3.415,32,2779.024,2779.024,2779.024,2778.632
24606215,8.104,3754,77.136,32,650.698,650.698,650.698,649.335
24613501,8.241,5026,6.786,33,448.629,448.629,448.629,448.629
24705240,8.008,5030,3.565,28,475.318,475.318,475.318,474.465
24705587,13.365,0,0.000,29,6734.244,6734.244,6734.244,6648.580
24706089,8.002,4797,10.555,27,548.516,548.516,548.516,546.087
24706089,8.002,4797,10.555,28,543.156,543.156,543.156,542.746
24706089,8.002,4797,10.555,29,522.087,522.087,522.087,517.839
24706112,16.336,0,0.000,29,109971.792,109971.792,109971.792,109632.336
24706893,8.206,4659,8.742,28,580.953,580.953,580.953,580.048
24706893,8.206,4659,8.742,29,530.615,530.615,530.615,528.110
24720349,9.973,0,0.000,32,4652.702,4652.702,4652.702,4644.255
24722822,8.069,7596,2.141,32,1045.103,1045.103,1045.103,1045.103
24773594,10.100,8181,1.551,32,1609.894,1609.894,1609.894,1609.894
24776909,9.908,8153,1.588,32,2009.173,2009.173,2009.173,2009.173
24909374,8.157,5163,6.892,30,491.880,491.880,491.880,487.792
