ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
22529346,10.056,6776,1.523,34,3956.681,3955.883,3955.883,3955.320
22600633,5.286,9517,4.397,33,116.434,113.865,113.865,97.296
22600633,5.286,9517,4.397,34,94.804,91.068,91.068,90.726
22641187,15.630,0,0.000,33,313460.141,313834.846,313834.846,313834.846
22641187,15.630,0,0.000,34,273555.160,274060.786,274060.786,274060.786
23026869,8.029,9364,2.342,33,596.630,580.147,580.147,579.056
23026869,8.029,9364,2.342,34,582.260,565.394,565.394,563.811
23031858,8.024,0,0.000,33,1177.470,1170.153,1170.153,1169.812
23031858,8.024,0,0.000,34,1169.162,1165.836,1165.836,1165.811
23126920,12.524,3216,0.331,31,8639.031,8619.524,8619.524,8599.258
23186105,8.315,4964,2.352,36,461.288,411.516,411.516,404.701
23188170,8.046,6474,3.322,36,404.806,364.643,364.643,362.453
23219822,8.174,3734,57.836,31,583.427,524.995,524.995,509.297
23226265,13.814,0,0.000,36,20979.604,21151.830,21151.830,21151.830
23226268,12.052,0,0.000,36,6965.230,6968.696,6968.696,6961.785
23270430,5.940,5847,1.142,36,149.267,136.585,136.585,134.790
23325655,9.191,0,0.000,36,1813.259,1811.563,1811.563,1804.687
23328912,8.758,8690,2.051,36,1069.464,1041.028,1041.028,1039.545
23369524,9.030,3532,0.371,33,2248.006,2222.793,2222.793,2213.757
23434737,7.999,5742,1.173,36,385.777,346.788,346.788,344.198
23498749,8.036,4473,15.050,36,524.816,495.486,495.486,491.581
23582373,6.355,6199,1.364,36,170.779,159.421,159.421,157.769
23612266,8.217,9160,2.169,36,420.560,381.740,381.740,379.170
23733602,8.207,4230,30.387,33,522.242,478.497,478.497,470.339
24225890,9.712,7492,2.169,30,1374.678,1145.737,1145.737,1119.656
24250134,8.333,6319,2.117,30,566.393,456.744,456.744,436.983
24252344,14.137,0,0.000,30,29550.178,29776.946,29776.946,29753.959
24358417,11.702,5523,1.117,32,2611.052,2638.063,2638.063,2635.724
24360361,8.102,5623,2.186,32,383.890,363.629,363.629,362.977
24398462,8.088,4811,10.733,32,656.181,646.580,646.580,645.794
24405903,8.025,5061,10.295,32,493.706,469.185,469.185,461.994
24435416,12.213,3156,0.518,35,5606.382,5546.045,5546.045,5530.443
24436680,8.108,4900,18.110,35,564.751,470.513,470.513,447.229
24437956,10.746,3777,0.614,35,2155.767,1878.530,1878.530,1844.135
24440555,8.193,6681,1.871,35,544.828,425.943,425.943,394.149
24441509,15.062,0,0.000,35,35116.959,35525.352,35525.352,35525.352
24450633,13.717,0,0.000,32,140168.890,140217.111,140217.111,140176.788
24450633,13.717,0,0.000,33,100022.420,100054.845,100054.845,100048.564
24451876,8.035,4206,30.677,32,420.847,403.851,403.851,401.491
24451876,8.035,4206,30.677,33,416.397,393.282,393.282,390.855
